домен,упоминаний,процент,тип_источника,все_типы
cosmetic.magnit.ru,3,0.34,перекуп,"{'обзор': 1, 'перекуп': 2}"
huggies.ru,3,0.34,сайт бренда,{'сайт бренда': 3}
dom.mail.ru,3,0.34,обзор,{'обзор': 3}
rth.ru,3,0.34,экспертный ресурс,{'экспертный ресурс': 3}
invitro.ru,3,0.34,экспертный ресурс,{'экспертный ресурс': 3}
24stoma.ru,3,0.34,экспертный ресурс,{'экспертный ресурс': 3}
forum.baby.ru,3,0.34,форум,{'форум': 3}
esteticshop.ru,2,0.22,обзор,{'обзор': 2}
global.podrygka.ru,2,0.22,перекуп,{'перекуп': 2}
online.globus.ru,2,0.22,перекуп,{'перекуп': 2}
bestproducts.mail.ru,2,0.22,обзор,{'обзор': 2}
akusherstvo.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
alpha56.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
sportmaster.ru,2,0.22,обзор,{'обзор': 2}
sima-land.ru,2,0.22,обзор,{'обзор': 2}
kabrita.ru,2,0.22,сайт бренда,{'сайт бренда': 2}
nestlebaby.ru,2,0.22,сайт бренда,{'сайт бренда': 2}
alerana.ru,2,0.22,экспертный ресурс,"{'экспертный ресурс': 1, 'сайт бренда': 1}"
en.wikipedia.org,2,0.22,обзор,{'обзор': 2}
sm-stomatology.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
ormco.ru,2,0.22,сайт бренда,{'сайт бренда': 2}
citilink.ru,2,0.22,перекуп,{'перекуп': 2}
aroma-butik.ru,2,0.22,обзор,{'обзор': 2}
vichy.ru,2,0.22,сайт бренда,{'сайт бренда': 2}
livemaster.ru,2,0.22,обзор,{'обзор': 2}
markakachestva.ru,2,0.22,обзор,{'обзор': 2}
dns-shop.ru,2,0.22,перекуп,"{'перекуп': 1, 'обзор': 1}"
dixy.ru,2,0.22,перекуп,{'перекуп': 2}
aptstore.ru,2,0.22,перекуп,{'перекуп': 2}
selencin.ru,2,0.22,сайт бренда,{'сайт бренда': 2}
rskrf.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
legstom.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
nbcnews.com,2,0.22,обзор,{'обзор': 2}
ryazan.kp.ru,2,0.22,обзор,{'обзор': 2}
nutrilak.com,2,0.22,сайт бренда,"{'сайт бренда': 1, 'обзор': 1}"
pansionatgorka.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
homecare-shop.ru,2,0.22,обзор,"{'обзор': 1, 'перекуп': 1}"
aif.ru,2,0.22,обзор,{'обзор': 2}
hi-tech.mail.ru,2,0.22,обзор,{'обзор': 2}
club.dns-shop.ru,2,0.22,обзор,{'обзор': 2}
shop.curaprox.ru,2,0.22,сайт бренда,{'сайт бренда': 2}
doktorvolos.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
yuzhny.ru,2,0.22,обзор,{'обзор': 2}
medilifespb.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
mc21.ru,2,0.22,экспертный ресурс,{'экспертный ресурс': 2}
woman.ru,2,0.22,форум,{'форум': 2}
cdek.shopping,1,0.11,перекуп,{'перекуп': 1}
usmall.ru,1,0.11,перекуп,{'перекуп': 1}
5ka.ru,1,0.11,маркетплейс,{'маркетплейс': 1}
maroshka.com,1,0.11,обзор,{'обзор': 1}
randewoo.ru,1,0.11,обзор,{'обзор': 1}
sibcirulnik.ru,1,0.11,обзор,{'обзор': 1}
style.rbc.ru,1,0.11,обзор,{'обзор': 1}
skin.ru,1,0.11,обзор,{'обзор': 1}
1faberlic.ru,1,0.11,сайт бренда,{'сайт бренда': 1}
faberlic.com,1,0.11,сайт бренда,{'сайт бренда': 1}
fabirlic.com,1,0.11,сайт бренда,{'сайт бренда': 1}
rbc.ru,1,0.11,обзор,{'обзор': 1}
nversia.ru,1,0.11,обзор,{'обзор': 1}
chudo-trusiki.ru,1,0.11,обзор,{'обзор': 1}
akademstom.ru,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
novadent.ru,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
samson-denta.ru,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
co-ulybnis.ru,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
sprosivracha.com,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
krasotaimedicina.ru,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
nutriclub.ru,1,0.11,сайт бренда,{'сайт бренда': 1}
wikihow.com,1,0.11,обзор,{'обзор': 1}
hitekgroup.ru,1,0.11,обзор,{'обзор': 1}
marieclaire.ru,1,0.11,обзор,{'обзор': 1}
fdc-vip.ru,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
доктормамонтов.рф,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
luberdent.ru,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
aksondent.ru,1,0.11,экспертный ресурс,{'экспертный ресурс': 1}
pampers.com,1,0.11,сайт бренда,{'сайт бренда': 1}
vsekroham.ru,1,0.11,перекуп,{'перекуп': 1}
pampers.ae,1,0.11,сайт бренда,{'сайт бренда': 1}
parfum-lider.ru,1,0.11,перекуп,{'перекуп': 1}
stathammoet.ru,1,0.11,перекуп,{'перекуп': 1}
genius.com,1,0.11,обзор,{'обзор': 1}
rutube.ru,1,0.11,обзор,{'обзор': 1}
amalgama-lab.com,1,0.11,обзор,{'обзор': 1}
my.mail.ru,1,0.11,обзор,{'обзор': 1}
